,price,predict_price,residuals
126,1490000,1042857.7232660456,447142.27673395444
127,6200000,5783847.763977401,416152.23602259904
128,5500000,4974838.9969046945,525161.0030953055
129,3590000,3661370.2476378446,-71370.24763784464
130,3070000,3538324.430350215,-468324.4303502152
131,1590000,1532495.5470733996,57504.45292660035
132,1400000,1578326.1801539343,-178326.18015393429
133,1900000,2813493.360792229,-913493.360792229
134,1980000,2521449.0101784347,-541449.0101784347
135,2050000,3007762.835778528,-957762.8357785279
136,1950000,2459194.322889084,-509194.322889084
137,2490000,2615965.6962304357,-125965.69623043574
138,8500000,5911102.496835858,2588897.5031641424
139,1590000,2078996.887711851,-488996.8877118509
140,3190000,4347398.013364123,-1157398.0133641232
141,5900000,6163516.696389769,-263516.6963897692
142,4200000,4178174.9502640283,21825.049735971726
143,4500000,5779765.272558606,-1279765.2725586062
144,7000000,7406290.9352939455,-406290.9352939455
145,3290000,5096441.370052521,-1806441.3700525211
146,1550000,2344882.560149763,-794882.5601497628
147,8500000,9178659.662372354,-678659.6623723544
148,1700000,3445095.5478477534,-1745095.5478477534
149,3750000,4659255.783327477,-909255.783327477
150,1950000,1961866.1178551177,-11866.117855117656
151,2250000,2652461.9331298918,-402461.93312989175
152,4650000,4671575.622951222,-21575.622951221652
153,2200000,2094898.1723425984,105101.82765740156
154,3990000,3352134.8206570195,637865.1793429805
155,1240000,1316642.626129428,-76642.62612942792
156,1250000,1552804.2903175517,-302804.2903175517
157,1400000,3342805.9891746994,-1942805.9891746994
158,3300000,4105316.5363319246,-805316.5363319246
159,3800000,3819486.815891685,-19486.815891684964
160,5290000,5784845.960387763,-494845.96038776264
161,1300000,642408.6974549987,657591.3025450013
162,1490000,2256996.971958395,-766996.9719583951
163,1785000,2429357.530440214,-644357.5304402141
164,1750000,126794.93193070358,1623205.0680692964
165,4590000,3657686.3675177125,932313.6324822875
166,2400000,2052378.347564605,347621.65243539494
167,5990000,6678663.331587474,-688663.3315874739
168,4600000,6059844.249834531,-1459844.249834531
169,1700000,2434499.2226656023,-734499.2226656023
170,3900000,5363112.631723533,-1463112.6317235334
171,3000000,4116148.3779100114,-1116148.3779100114
172,2390000,2516937.3700096617,-126937.37000966165
173,4500000,4174497.563805257,325502.43619474303
174,3500000,3448835.3603810417,51164.63961895835
175,6290000,7109678.778294244,-819678.7782942438
176,3500000,3960662.956339972,-460662.9563399721
177,1990000,1708481.1648495975,281518.8351504025
178,1350000,1420005.1395920115,-70005.13959201146
179,1590000,1400060.4969637315,189939.50303626852
180,1399999,1752459.969023351,-352460.9690233511
181,4200000,4485774.210495487,-285774.21049548686
182,1700000,1770726.2665216313,-70726.26652163127
183,6500000,6915550.4497505305,-415550.44975053053
184,1290000,1165865.3604588527,124134.63954114728
185,4000000,3557920.1035158867,442079.8964841133
186,1550000,2256208.8446142552,-706208.8446142552
187,5600000,5964085.145821306,-364085.1458213059
188,5500000,6036145.880845638,-536145.880845638
189,2400000,1477099.3747663926,922900.6252336074
190,4990000,4087346.0880161766,902653.9119838234
191,1600000,3538844.279763406,-1938844.2797634061
192,4500000,4314567.300029808,185432.69997019228
193,1869000,1915562.784123687,-46562.78412368707
194,1860000,2350616.9114205055,-490616.9114205055
195,4190000,3446553.778185876,743446.2218141239
196,2380000,2208240.797614634,171759.20238536596
197,1550000,1254538.9829734145,295461.0170265855
198,5300000,7071027.847107076,-1771027.847107076
199,2400000,3505717.5573499547,-1105717.5573499547
200,2390000,2104425.067555501,285574.9324444989
201,2800000,3043085.6122236066,-243085.61222360656
202,3799000,4505665.861565812,-706665.8615658116
203,2800000,4869429.556032043,-2069429.556032043
204,2500000,2186097.219737824,313902.78026217595
205,4250000,5207792.202435671,-957792.2024356714
206,3250000,2818889.096424996,431110.9035750041
207,3800000,3847232.0587998647,-47232.058799864724
208,2400000,1737849.983982117,662150.0160178831
209,3400000,3152127.966008909,247872.03399109095
