,price,predict_price,residuals
125,9800000,9033168.206602722,766831.7933972776
126,1490000,1042852.5145996446,447147.4854003554
127,6200000,5783852.541100047,416147.4588999534
128,5500000,4974869.524672265,525130.4753277348
129,3590000,3661371.2835083557,-71371.28350835573
130,3070000,3538313.6190780457,-468313.6190780457
131,1590000,1532491.4778451165,57508.52215488348
132,1400000,1578322.2773675816,-178322.2773675816
133,1900000,2813492.67542376,-913492.67542376
134,1980000,2521452.406837198,-541452.406837198
135,2050000,3007759.336089529,-957759.3360895291
136,1950000,2459189.154274213,-509189.1542742131
137,2490000,2615950.1673433883,-125950.16734338831
138,8500000,5911087.2056944175,2588912.7943055825
139,1590000,2078993.3798628794,-488993.3798628794
140,3190000,4347409.538328092,-1157409.5383280916
141,5900000,6163518.74914408,-263518.7491440801
142,4200000,4178164.2245114176,21835.77548858244
143,4500000,5779756.759810337,-1279756.7598103369
144,7000000,7406282.285975541,-406282.285975541
145,3290000,5096437.725297866,-1806437.7252978664
146,1550000,2344883.1284889495,-794883.1284889495
147,8500000,9178665.733869117,-678665.7338691168
148,1700000,3445091.9632604467,-1745091.9632604467
149,3750000,4659246.064024038,-909246.0640240377
150,1950000,1961869.012126728,-11869.012126727961
151,2250000,2652457.200361522,-402457.2003615219
152,4650000,4671558.211495774,-21558.211495773867
153,2200000,2094952.5957719898,105047.40422801021
154,3990000,3352158.3785884613,637841.6214115387
155,1240000,1316646.3536537746,-76646.3536537746
156,1250000,1552801.8134646472,-302801.81346464716
157,1400000,3342810.434504832,-1942810.4345048321
158,3300000,4105324.699980825,-805324.6999808252
159,3800000,3819479.254236955,-19479.254236955196
160,5290000,5784834.840138181,-494834.8401381811
161,1300000,642415.3043850958,657584.6956149042
162,1490000,2256989.990746415,-766989.9907464152
163,1785000,2429348.705700849,-644348.7057008492
164,1750000,126805.5853224867,1623194.4146775133
165,4590000,3657712.263213099,932287.736786901
166,2400000,2052375.2385213077,347624.7614786923
167,5990000,6678637.828911467,-688637.8289114675
168,4600000,6059841.035599989,-1459841.035599989
169,1700000,2434498.73043318,-734498.73043318
170,3900000,5363111.111653353,-1463111.111653353
171,3000000,4116145.442084849,-1116145.4420848489
172,2390000,2516933.512529428,-126933.51252942812
173,4500000,4174506.224032717,325493.7759672832
174,3500000,3448845.2875825996,51154.71241740044
175,6290000,7109661.695851735,-819661.6958517348
176,3500000,3960638.8113407735,-460638.8113407735
177,1990000,1708474.9493704652,281525.05062953476
178,1350000,1419994.3881525667,-69994.38815256674
179,1590000,1400059.5107203005,189940.4892796995
180,1399999,1752453.6892161416,-352454.6892161416
181,4200000,4485785.543444925,-285785.543444925
182,1700000,1770726.1478291843,-70726.14782918431
183,6500000,6915548.116190708,-415548.11619070824
184,1290000,1165866.4956459142,124133.50435408577
185,4000000,3557920.8217919357,442079.1782080643
186,1550000,2256206.0150663955,-706206.0150663955
187,5600000,5964083.406817011,-364083.4068170106
188,5500000,6036141.933050013,-536141.9330500131
189,2400000,1477102.188600351,922897.8113996489
190,4990000,4087323.874702732,902676.1252972679
191,1600000,3538839.768307886,-1938839.768307886
192,4500000,4314568.888219634,185431.11178036593
193,1869000,1915558.1207826054,-46558.12078260537
194,1860000,2350624.5738794794,-490624.57387947943
195,4190000,3446552.616657854,743447.383342146
196,2380000,2208239.3749588523,171760.6250411477
197,1550000,1254535.7409473984,295464.25905260164
198,5300000,7071019.785637257,-1771019.7856372567
199,2400000,3505716.6363319634,-1105716.6363319634
200,2390000,2104422.3420094717,285577.65799052827
201,2800000,3043096.347362307,-243096.3473623069
202,3799000,4505667.758251619,-706667.7582516186
203,2800000,4869411.823933124,-2069411.8239331236
204,2500000,2186089.4438039884,313910.5561960116
205,4250000,5207780.152229852,-957780.152229852
206,3250000,2818899.5784744825,431100.4215255175
207,3800000,3847225.817613242,-47225.817613242194
208,2400000,1737840.9660751596,662159.0339248404
209,3400000,3152132.637058353,247867.36294164695
210,1990000,1806198.243703627,183801.75629637297
211,1450000,2634134.4825849067,-1184134.4825849067
212,5800000,7378454.056224837,-1578454.056224837
213,3200000,3000263.584721109,199736.4152788911
214,3990000,5543924.326758322,-1553924.3267583223
215,2800000,3200101.4588530315,-400101.4588530315
216,2390000,3377522.475970421,-987522.475970421
217,5990000,6099977.42762513,-109977.42762512993
218,1740000,1268849.8120021392,471150.18799786083
219,2690000,3265381.689170191,-575381.6891701911
220,3760000,5140336.039762751,-1380336.0397627512
221,7500000,7913150.175607073,-413150.1756070731
222,3600000,3800028.286471119,-200028.28647111915
223,7790000,6325192.7569163805,1464807.2430836195
224,3250000,2889482.7800180437,360517.2199819563
225,5990000,5484447.363178371,505552.63682162855
226,2850000,2750115.8295800546,99884.17041994538
227,3360000,4384959.686504305,-1024959.6865043053
